Province/State,Country/Region,Lat,Long,January/20,February/20,March/20,April/20,May/20,June/20,July/20,August/20,September/20,October/20,November/20,December/20,January/21,February/21,March/21,April/21,May/21,June/21,July/21,August/21,September/21,October/21,November/21,December/21,January/22,February/22,March/22,April/22,May/22,June/22,July/22,August/22,September/22,October/22,November/22,December/22,January/23,February/23,3
,Botswana,-22.3285,24.6849,0,0,7,437,843,2211,14959,37084,73122,144559,261748,398982,556279,715384,1087347,1315455,1563753,1860810,2687022,4276527,5061795,5666363,5796975,6264669,7361782,7275890,8265602,9172482,9503726,9419467,10058284,10099244,9781968,10116487,9790667,10147170,10182406,9226846,
,Brazil,-14.235,-51.9253,0,5,37127,1048506,7988757,28366311,62859430,103119970,132259920,161188350,177032068,218447663,261425401,276779258,361463134,412942432,484932463,528654898,598216172,632188702,633559210,670852456,659056710,688337377,725181146,770828523,913056326,906812417,951865321,948526904,1029170953,1059634288,1036694862,1077265489,1049264344,1110149739,1135252574,1034556621,
,Brunei,4.5353,114.7277,0,0,1688,4089,4354,4230,4371,4416,4355,4554,4455,4715,5379,5133,6155,6588,7230,7522,9043,35286,142404,320523,427414,475606,492219,834216,3470043,4179447,4494996,4660798,5729183,6674429,6726521,7219420,7415209,8169424,8443898,7758891,
,Bulgaria,42.7339,25.4858,0,0,3576,25790,65828,105731,254933,443823,552189,962977,3044632,5636378,6550706,6492052,9012470,11402304,12813504,12616355,13114402,13546653,14345031,16915796,19750211,22352598,25928937,29127460,34658426,34462302,36013304,35039727,36800523,38081875,37527654,39373957,38520594,39985306,40118929,36290057,
,Burkina Faso,12.2383,-1.5616,0,0,1901,15230,24013,27120,32311,38874,51159,72258,79775,143616,275921,322977,384211,391736,415078,403851,419321,423917,419774,453154,461090,516850,613623,580036,644422,625880,647597,629145,653792,654968,635852,670561,648930,675061,682619,617196,
,Burma,21.9162,95.956,0,0,55,2408,5780,8018,10335,13862,150402,1037537,2128623,3427806,4135212,3962034,4407423,4278611,4436743,4429479,6891196,10985696,13127175,15035793,15400013,16346632,16526460,15549726,18759621,18373465,19007317,18404068,19028695,19048576,18555615,19473206,18981668,19638478,19646546,17748495,
,Burundi,-3.3731,29.9189,0,0,2,183,889,3219,8597,12907,14171,16650,19096,23099,36863,52468,77229,102093,134800,152959,184393,304068,433981,601385,607769,693524,1091454,1059766,1187274,1167496,1281503,1270645,1349703,1490149,1491581,1560275,1518866,1594349,1623036,1499988,
,Cabo Verde,16.5388,-23.0418,0,0,49,1423,9336,23482,58038,98700,148629,232518,295451,353444,399245,412799,504501,604208,860060,950605,1029303,1068665,1101939,1177201,1148987,1203771,1615126,1563297,1733465,1679591,1740146,1735790,1913718,1929929,1870431,1934147,1881975,1957551,1959766,1770607,
,Cambodia,11.55,104.9167,5,10,1225,3583,3804,3885,5473,8173,8247,8809,9085,11076,13195,15201,46744,189155,687710,1204307,2015636,2662445,3062547,3598128,3585992,3731437,3745917,3491835,4155023,4080734,4224090,4087887,4230481,4255261,4132615,4276470,4140605,4288876,4298272,3883743,
,Cameroon,3.848,11.5021,0,0,1067,30497,109504,295083,477610,570225,606411,662489,690210,788845,867295,910920,1255724,1886280,2352287,2399758,2521936,2558000,2559342,3034527,3169181,3345937,3449374,3313011,3701850,3591748,3714349,3599048,3722990,3745815,3649560,3787028,3717606,3843783,3843783,3474947,
Alberta,Canada,53.9333,-116.5765,0,0,5662,76102,200503,225082,286502,378646,479121,685933,1224690,2573776,3559487,3611874,4338742,5034774,6677134,6914142,7217973,7480455,8236090,9715887,9899011,10621958,13511010,14409057,16510184,16563804,17831297,17570493,18330857,18555388,18133323,18906249,18482173,19256687,19378144,17581431,
British Columbia,Canada,53.7267,-127.6476,4,65,9118,47020,74469,82436,99349,140512,223013,352954,684592,1342337,1863238,2062419,2765907,3459108,4285814,4391870,4602222,4862784,5293313,6101988,6379978,7073611,9113178,9503681,10939263,10778408,11392928,11186640,11664134,11790868,11503488,11973439,11659174,12119373,12205437,11074192,
Diamond Princess,Canada,0,0,0,0,0,0,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Grand Princess,Canada,0,0,0,0,184,390,403,390,403,403,390,403,390,403,403,364,403,390,403,390,403,403,390,403,390,403,403,364,403,390,403,390,403,403,390,403,390,403,403,364,
Manitoba,Canada,53.7609,-98.8139,0,0,600,7106,8950,9225,10903,22952,45842,102160,335032,664825,844725,862767,1021544,1080279,1396482,1630373,1767606,1800463,1785227,1922598,1972845,2216942,3274068,3542704,4131779,4134240,4427721,4348938,4520552,4558529,4473202,4668203,4558260,4746185,4768464,4320928,
New Brunswick,Canada,46.5653,-66.4619,0,0,473,3327,3756,4637,5198,5651,5845,8748,11851,17430,28637,38690,46292,52885,64089,68832,72662,79017,97882,172434,219851,322778,705141,928526,1316012,1691331,1969942,2004468,2153117,2264415,2280119,2435146,2433268,2593595,2667634,2456400,
Newfoundland and Labrador,Canada,53.1355,-57.6604,0,0,863,7179,8058,7830,8148,8297,8133,8810,9242,11371,12276,19360,31323,31197,37059,41102,43985,45034,47277,58590,60763,73759,369299,575938,970168,1248414,1397495,1409030,1505165,1554391,1540652,1615147,1587513,1663262,1677882,1525529,
Northwest Territories,Canada,64.8255,-124.8457,0,0,10,141,155,150,155,155,150,200,392,636,843,1054,1302,1346,3415,3840,3968,7237,20981,48667,59572,64670,122101,212517,302822,333987,353827,344669,356638,356841,345330,356841,345330,356841,356841,322308,
Nova Scotia,Canada,44.682,-63.7443,0,0,931,17060,31814,31806,33051,33335,32584,33942,35071,44035,47942,44799,51988,56515,138916,172280,181983,184163,188490,219285,236071,345205,902477,1180012,1540752,2119750,2847365,3047797,3372488,3633616,3687852,3950178,3929764,4139478,4225130,3904204,
Nunavut,Canada,70.2998,-83.1076,0,0,0,0,0,0,0,0,0,0,1852,7565,8390,8969,11926,12626,18687,19625,20367,20367,19796,20782,20220,21329,36681,63248,101074,105694,109461,105930,109461,109461,105930,109461,105930,109461,109461,98868,
Ontario,Canada,51.2538,-85.3232,26,119,26325,325924,726869,983666,1170978,1280004,1417792,2030590,2955099,4746538,7365032,8112092,10167565,12496308,15901717,16333114,17103675,17399564,17456318,18562948,18410040,20789025,29721162,30454564,35424667,36517953,40324037,39919882,42218912,43666748,43478919,46129964,45742995,47909598,48607567,44428607,
Prince Edward Island,Canada,46.5107,-63.4168,0,0,99,747,837,810,1055,1258,1630,1941,2030,2681,3241,3207,4491,5008,5909,6168,6442,6752,7797,9562,10037,16004,131949,297963,635666,912894,1131387,1174313,1349782,1499551,1527773,1629417,1620004,1706801,1732214,1576725,
Quebec,Canada,52.9399,-73.5491,0,7,27346,521776,1310342,1614848,1772904,1889695,2016613,2856518,3760807,5354891,7427825,7738297,9267249,9991642,11250309,11206820,11663299,11857783,12003179,12977609,13078713,15266836,23951756,25161202,29187321,30290829,32767936,32302190,34707594,36098977,35673109,37664043,37196294,39349681,40144094,36672350,
Repatriated Travellers,Canada,,,0,0,0,0,0,0,0,0,0,0,91,403,403,364,403,390,403,390,403,403,390,403,390,403,403,364,403,390,403,390,403,403,390,403,390,403,403,364,
Saskatchewan,Canada,52.9399,-106.4509,0,0,1192,9017,17798,21023,29783,47070,52556,73193,160187,385123,614780,742292,961175,1123884,1373577,1440713,1531027,1601860,1818371,2279732,2388013,2550700,3119961,3487386,4013713,4016959,4257672,4175590,4335833,4368833,4283430,4496539,4431743,4649590,4699838,4279407,
Yukon,Canada,64.2823,-135,0,0,23,259,341,330,379,459,450,530,878,1785,2125,1991,2240,2300,2582,4790,15426,20237,21520,26052,37558,50057,79104,92787,111984,120496,133814,132794,141423,148074,146067,152906,149522,154659,154659,139692,
,Central African Republic,6.6111,20.9394,0,0,41,444,11339,70765,134487,144485,143052,150498,146812,153026,154155,139885,156694,173004,212320,213344,221470,311854,339724,355117,349359,369649,406282,395605,449228,439470,454119,439470,455769,459079,446798,467196,458694,474881,476047,430304,
